2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Guaranteed,MP,ORB,PF,PTS,Player,Pos,STL,Signed Using,TOV,TRB,eFG%
30431854,37800000,40824000,43848000,46872000,0,5.4,0.53,10.1,3.7,0.37,10.0,8.8,28,0.7,4.8,9.0,0.45,20.1,8.7,0.86,10.1,72,72,152903854,35.4,0.6,2.3,30.4,James Harden,SG,1.8,Bird Rights,4.4,5.3999999999999995,0.54
6041520,7059480,8930242,0,0,0,4.3,0.46,9.3,0.7,0.25,2.8,1.5,20,0.5,3.3,5.1,0.42,12.1,2.3,0.64,3.6,77,35,13101000,25.4,1.2,2.8,13.1,Josh Jackson,SF,1.0,1st Round Pick,1.9,4.5,0.45
1544951,2305057,0,0,0,0,0.7,0.47,1.5,0.0,0.0,0.0,0.1,22,0.2,0.6,0.7,0.47,1.5,0.2,0.67,0.3,15,0,3850008,5.9,0.3,0.9,1.7,Damian Jones,C,0.1,1st Round pick,0.3,0.8999999999999999,0.47
13045455,11954546,10863637,0,0,0,1.6,0.52,3.1,2.5,0.44,5.7,4.8,30,0.2,3.9,4.1,0.47,8.8,0.8,0.8,1.0,82,81,35863638,31.4,0.3,2.2,11.5,Joe Ingles,SF,1.1,Bird Rights,1.9,4.2,0.61
1740000,2033160,3665787,0,0,0,0.9,0.47,1.9,0.0,0.0,0.3,0.5,20,0.1,1.4,0.9,0.41,2.2,0.4,0.57,0.7,27,3,3773160,7.0,0.6,1.4,2.3,Caleb Swanigan,PF,0.2,1st Round Pick,0.7,2.0,0.41
3000000,0,0,0,0,0,4.7,0.52,9.12,0.5,0.34,1.47,6.23,23,0.33,3.33,5.21,0.49,10.59,1.7,0.63,2.68,126,126,3000000,28.71,1.02,2.31,12.67,Elfrid Payton,PG,1.32,Bi-annual Exception,2.68,4.35,0.52
16539326,17617977,0,0,0,0,4.7,0.59,8.0,0.4,0.4,1.0,1.1,25,0.9,6.2,5.1,0.57,8.9,2.2,0.81,2.7,77,77,16539326,22.4,2.4,2.5,12.7,Jonas Valanciunas,C,0.4,1st Round Pick,1.5,8.6,0.6
327566,0,0,0,0,0,1.0,0.56,1.8,0.0,0.0,0.0,1.2,26,0.8,2.9,1.0,0.56,1.8,0.2,0.5,0.4,67,3,327566,12.0,1.2,1.7,2.1,Eric Moreland,PF,0.5,/,0.6,4.1,0.56
14681317,0,0,0,0,0,2.4,0.52,4.6,0.0,0.0,0.0,0.6,28,0.4,2.7,2.4,0.52,4.6,1.1,0.69,1.6,32,7,14681317,14.4,2.1,1.6,5.9,Kenneth Faried,PF,0.4,/,0.7,4.800000000000001,0.52
1656092,10600000,11400000,12300000,0,0,2.3,0.45,5.1,1.8,0.33,5.4,6.6,24,0.3,2.7,4.1,0.39,10.5,2.7,0.79,3.4,80,58,23656092,28.8,0.5,2.3,12.6,Spencer Dinwiddie,PG,0.9,Minimum Salary,1.6,3.2,0.48
22347015,26000000,24000000,0,0,0,8.8,0.53,16.7,0.4,0.33,1.2,2.0,32,1.2,5.2,9.2,0.51,18.0,4.5,0.85,5.3,75,75,55347015,33.5,3.3,2.1,23.1,LaMarcus Aldridge,C,0.6,Cap Space,1.5,8.5,0.52
8808685,8664928,0,0,0,0,3.6,0.55,6.5,1.6,0.43,3.7,2.3,28,0.1,2.2,5.2,0.51,10.1,0.6,0.75,0.8,82,80,17473613,31.5,0.7,2.2,12.5,E'Twaun Moore,SG,1.0,Cap Space,1.2,2.9000000000000004,0.59
2284769,1645357,0,0,0,0,0.9,0.39,2.3,0.5,0.31,1.6,0.5,21,0.0,1.9,1.4,0.37,3.8,0.7,0.87,0.8,38,0,2712058,8.7,0.3,0.6,4.0,Henry Ellenson,PF,0.1,//,0.5,2.1999999999999997,0.43
1619000,0,0,0,0,0,1.1,0.48,2.3,1.4,0.35,4.0,1.3,22,0.8,2.7,2.5,0.4,6.3,0.4,0.67,0.6,20,1,1619000,16.3,0.6,1.4,6.7,Luke Kornet,PF,0.3,,0.6,3.3000000000000003,0.51
7866667,0,0,0,0,0,3.3,0.5,6.6,0.8,0.35,2.3,1.4,27,0.5,5.8,4.1,0.46,8.9,1.5,0.75,2.0,55,54,7866667,28.0,2.7,2.8,10.3,JaMychal Green,PF,0.6,Bird Rights,1.4,8.5,0.51
3410284,18000000,18000000,18000000,18000000,0,3.8,0.51,7.4,0.9,0.38,2.4,1.3,21,1.8,5.0,4.7,0.48,9.8,2.5,0.78,3.2,65,62,75410284,28.2,1.4,2.9,12.7,Myles Turner,C,0.6,1st round pick,1.5,6.4,0.53
7305825,7815533,0,0,0,0,2.0,0.49,4.1,1.4,0.33,4.29,1.22,27,0.27,2.7,3.4,0.41,8.39,1.52,0.81,1.87,160,94,15121358,26.12,0.73,2.3,9.69,Jae Crowder,SF,0.82,Bird Rights,0.92,3.43,0.49
1795015,0,0,0,0,0,4.3,0.55,7.8,1.1,0.38,2.9,4.7,25,0.1,1.6,5.4,0.5,10.7,1.0,0.62,1.6,36,9,1795015,21.8,0.4,1.2,12.8,Trey Burke,PG,0.7,Minimum Salary,1.2,2.0,0.56
22900000,0,0,0,0,0,4.8,0.64,7.5,0.0,0.0,0.0,1.5,29,0.9,10.9,4.8,0.64,7.5,2.4,0.59,4.1,77,77,22900000,31.5,4.3,2.6,12.0,DeAndre Jordan,C,0.5,,1.8,15.2,0.64
24107258,25102512,0,0,0,0,5.4,0.47,11.4,1.5,0.35,4.3,2.0,25,0.2,5.1,7.0,0.45,15.7,3.4,0.83,4.1,77,77,24107258,34.2,1.0,1.2,18.9,Harrison Barnes,PF,0.6,Cap Space,1.5,6.1,0.49
1378242,1618520,0,0,0,0,1.1,0.52,2.1,0.5,0.33,1.5,0.7,23,0.0,1.7,1.6,0.43,3.7,0.4,0.8,0.5,44,2,1378242,10.8,0.2,0.8,4.1,Damyean Dotson,SG,0.3,Minimum Salary,0.4,1.9,0.5
24605181,26573595,28542009,30510423,32478837,0,5.2,0.54,9.7,1.5,0.41,3.7,6.1,22,0.8,8.1,6.7,0.5,13.5,3.5,0.83,4.2,75,73,142710045,32.6,2.6,2.8,18.5,Nikola Jokic,C,1.2,,2.8,10.7,0.55
20445779,19841627,0,0,0,0,6.2,0.51,12.2,1.2,0.35,3.4,4.9,28,0.4,4.0,7.4,0.47,15.6,6.2,0.86,7.2,59,59,20445779,36.7,1.3,1.3,22.2,Jimmy Butler,SG,2.0,Bird Rights,1.8,5.3,0.51
264919,0,0,0,0,0,0.5,0.62,0.8,0.7,0.39,1.8,0.3,25,0.2,1.3,1.2,0.44,2.7,0.3,0.6,0.5,6,4,264919,13.3,0.5,1.0,3.3,Okaro White,PF,0.2,,0.2,1.8,0.57
1952760,2281800,3872215,0,0,0,1.2,0.6,2.0,1.0,0.37,2.7,0.7,20,0.2,1.9,2.2,0.47,4.7,0.5,0.62,0.8,74,62,4234560,20.0,0.6,1.8,5.9,OG Anunoby,SF,0.7,1st Round Pick,0.6,2.5,0.57
2526840,3481986,0,0,0,0,2.9,0.46,6.3,2.1,0.38,5.6,2.6,23,0.5,4.1,5.1,0.43,11.9,1.9,0.86,2.2,82,82,6008826,30.0,0.6,2.0,14.1,Taurean Waller-Prince,SF,1.0,1st Round pick,2.3,4.699999999999999,0.52
30000000,31500000,0,0,0,0,6.7,0.56,11.9,2.5,0.41,6.1,5.4,29,1.8,6.4,9.3,0.52,18.0,5.3,0.9,5.9,68,68,30000000,34.2,0.5,2.0,26.4,Kevin Durant,PF,0.7,,3.0,6.9,0.59
6300000,0,0,0,0,0,1.4,0.5,2.8,2.0,0.38,5.2,4.6,30,0.1,2.4,3.4,0.42,8.0,0.9,0.9,1.0,45,36,6300000,25.2,0.4,2.3,9.5,Milos Teodosic,PG,0.5,,2.2,2.8,0.55
5757120,7265485,0,0,0,0,5.4,0.49,11.1,0.7,0.39,1.8,3.9,20,0.7,4.4,6.1,0.47,12.9,3.3,0.69,4.8,59,59,13022605,33.5,1.0,2.8,16.1,Brandon Ingram,SF,0.8,1st Round pick,2.5,5.4,0.5
6957105,0,0,0,0,0,1.5,0.43,3.5,1.8,0.37,4.9,1.2,27,0.6,6.2,3.3,0.39,8.4,0.9,0.75,1.2,69,67,6957105,30.0,1.4,2.0,9.3,Al-Farouq Aminu,PF,1.1,Cap Space,1.1,7.6,0.5
2299080,2686560,4137302,0,0,0,4.0,0.6,6.7,0.2,0.33,0.6,1.3,20,1.1,4.9,4.2,0.57,7.4,1.8,0.72,2.5,74,26,4985640,24.1,2.4,2.9,10.5,John Collins,PF,0.6,1st Round Pick,1.4,7.300000000000001,0.58
14357750,0,0,0,0,0,5.3,0.54,9.9,0.1,0.5,0.2,1.9,29,0.8,2.4,5.3,0.52,10.1,1.1,0.79,1.4,64,64,14357750,26.4,2.1,1.7,11.8,Robin Lopez,C,0.2,Cap Space,1.7,4.5,0.53
